#,H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad),,,,,,
H11,30,0.660689676039741,2.21456084714924,30,0.660686185381237,2.21456206887972,30,0.65596856041248,2.21457201725646,30,0.655964720688125,2.21458772521973,30,0,0,30,0,0
H12,30,0.655955121377238,2.21460674930857,30,0.65594482393465,2.21462367900232,30,0.655942729539547,2.21463450004369,30,0.655938191683491,2.21648786517662,30,0,0,30,0,0
H13,30,0.655929814103081,2.21466172718002,30,0.655922483720221,2.21467621341281,30,0.655917596798315,2.21468075126887,30,0.655914629738586,2.21468895431635,30,0,0,30,0,0
H14,30,0.655931035833557,2.21471042186616,30,0.655894209386335,2.21471600691976,30,0,0,30,0,0,30,0,0,30,0,0
H15,30,0.655875883429187,2.21474515391828,30,0.655872741836533,2.21474794644508,30,0.65585825560374,2.21477098479121,30,0.655844991101423,2.21478843808373,30,0,0,30,0,0
H16,30,0.655826490611349,2.21481898134565,30,0.655822127288219,2.21482247200415,30,0.655816716767537,2.21483067505163,30,0.655816193168761,2.21483451477599,30,0,0,30,0,0
H17,30,0.655810084516378,2.21484446315273,30,0.65580781558835,2.21484760474538,30,0,0,30,0,0,30,0,0,30,0,0
H21,30,0.655962975358873,2.21449190664378,30,0.655958786568668,2.21449522276936,30,0,0,30,0,0,30,0,0,30,0,0
H22,30,0.655946394730977,2.21452192630692,30,0.655935922755464,2.21453344547998,30,0.655930337701857,2.21454915344325,30,0,0,30,0,0,30,0,0
H23,30,0.655916549600764,2.21457288992108,30,0.65590537949355,2.21458475816,30,0.655901016170419,2.21459889532694,30,0,0,30,0,0,30,0,0
H24,30,0.655885657272999,2.2146242026011,30,0.655879199554766,2.21462996218763,30,0.655872916369458,2.21464532108505,30,0,0,30,0,0,30,0,0
H25,30,0.655858779202515,2.21466993022751,30,0.655852496017207,2.21467534074819,30,0,0,30,0,0,30,0,0,30,0,0
H26,30,0.655838009784414,2.21470361508207,30,0.65583085393448,2.21471618145269,30,0.655825443413798,2.21472071930874,30,0,0,30,0,0,30,0,0
H27,30,0.655814447839509,2.21474358312195,30,0.65580711745665,2.21475248430114,30,0.655800136139641,2.21476435254005,30,0,0,30,0,0,30,0,0
H28,30,0.655791234960454,2.21478512195815,30,0.655787569769025,2.2147868672874,30,0,0,30,0,0,30,0,0,30,0,0
H29,30,0.655775526997184,2.21481042923231,30,0.655772909003306,2.21481130189694,30,0,0,30,0,0,30,0,0,30,0,0
H31,30,0.655831726599106,2.21461076356586,30,0.655829632204003,2.21461181076341,30,0,0,30,0,0,30,0,0,30,0,0
H32,30,0.655820207426041,2.21462874045715,30,0.655815669569985,2.21463292924736,30,0,0,30,0,0,30,0,0,30,0,0
H33,30,0.655798390810388,2.21466242531172,30,0.655790711361679,2.21467795874207,30,0.655793852954333,2.21470152068697,30,0.655797169079912,2.21470832747105,30,0.655808513720051,2.21471897397949,30,0.655812178911481,2.21472438450017
V11,30,0.655942904072472,2.21448946318283,30,0.655944474868799,2.21449836436201,30,0,0,30,0,0,30,0,0,30,0,0
V12,30,0.655962102694247,2.21451913378011,30,0.655965593352751,2.21452925668978,30,0.655975367196564,2.21453728520434,30,0,0,30,0,0,30,0,0
V13,30,0.655989504363507,2.21455683289196,30,0.655990202495208,2.21456503593945,30,0,0,30,0,0,30,0,0,30,0,0
V21,30,0.655913582541035,2.21455124783835,30,0.655741144010916,2.21455508756271,30,0,0,30,0,0,30,0,0,30,0,0
V22,30,0.655929814103081,2.2145667812687,30,0.655935399156688,2.21457550791496,30,0,0,30,0,0,30,0,0,30,0,0
V23,30,0.655949187257781,2.21458667802217,30,0.655951805251659,2.21459173947701,30,0,0,30,0,0,30,0,0,30,0,0
V31,30,0.655881643015719,2.21460133878789,30,0.655883911943747,2.21460465491347,30,0,0,30,0,0,30,0,0,30,0,0
V32,30,0.655899794439943,2.21461826848164,30,0.655908521086204,2.21462943858885,30,0,0,30,0,0,30,0,0,30,0,0
V33,30,0.655922483720221,2.21464095776192,30,0.655926323444576,2.21464759001308,30,0,0,30,0,0,30,0,0,30,0,0
V41,30,0.655817763965088,2.21461076356586,30,0.655818985695565,2.21461477782314,30,0,0,30,0,0,30,0,0,30,0,0
V42,30,0.655833297395433,2.2146262969962,30,0.655838707916115,2.21463432551076,30,0.655848656292852,2.21464252855825,30,0.655853368681833,2.21465003347403,30,0,0,30,0,0
V43,30,0.655874138099935,2.21466696316778,30,0.655881119416944,2.21467516621526,30,0.655887053536401,2.21468354379567,30,0.655895256583887,2.21468947791513,30,0,0,30,0,0
V51,30,0.655798565343314,2.21464060869607,30,0.65579943800794,2.2146449720192,30,0,0,30,0,0,30,0,0,30,0,0
V52,30,0.655813575174883,2.21465596759349,30,0.65581950929434,2.21466556690437,30,0.65583120300033,2.21467621341281,30,0,0,30,0,0,30,0,0
V53,30,0.65585493947816,2.21469837909432,30,0.655865236920749,2.21470902560275,30,0.655872916369458,2.21471932304534,30,0,0,30,0,0,30,0,0
V61,30,0.655799088942089,2.2147812822338,30,0.655801706935968,2.2147861691557,30,0,0,30,0,0,30,0,0,30,0,0
V62,30,0.655810259049303,2.21479332500564,30,0.655812353444406,2.21479699019707,30,0,0,30,0,0,30,0,0,30,0,0
V63,30,0.655820381958967,2.21480397151408,30,0.655823698084546,2.21480920750183,30,0,0,30,0,0,30,0,0,30,0,0
V71,30,0.655767498482624,2.21479000888006,30,0.655769243811876,2.21479472126904,30,0,0,30,0,0,30,0,0,30,0,0
